Picture	Category	GendDiff	AmusMean	AmusSD	AweMean	AweSD	ContMean	ContSD	ExciMean	ExciSD
7600	U		3.533	1.944	3.817	1.836	3.267	1.784	3.833	1.787
7640	AwE†		2.967	1.948	4.433	2.012	2.683	1.557	4.267	1.793
8021	AwE	*	3.533	1.926	4.483	1.722	3.483	1.712	4.883	1.585
8030	E		3.95	2.095	4.467	1.882	3.6	1.968	5.6	1.543
8031	E		3.667	2.113	4.117	1.823	3.65	1.783	5.05	1.455
8032	U		3.467	2.062	4.05	1.89	3.6	1.649	3.8	1.764
8033	U		3.4	1.968	4.05	1.836	3.183	1.621	4.067	1.784
8034	E		3.55	2.078	3.867	1.702	3.567	1.671	4.783	1.795
8040	AmAwE		4.317	2.103	4.8	1.938	3.35	1.849	4.517	1.927
8041	U		3.567	1.978	4.467	1.682	3.317	1.692	4.233	1.544
8050	U		3.317	1.864	3.267	1.645	3.2	1.614	3.533	1.662
8080	U		3.817	1.996	4.483	1.846	3.517	1.722	4.917	1.51
8090	AwE		3.367	2.042	4.733	1.696	3.417	1.759	4.517	1.799
8116	E		4.117	2.366	3.517	2.013	4.3	2.142	5.517	1.682
8117	E		3.817	2.318	3.8	1.92	3.533	1.995	5.183	1.631
8120	AmCE		4.05	1.881	2.217	1.451	3.383	1.767	3.5	1.837
8130	U		3.667	1.919	4.383	1.748	3.233	1.477	4.733	1.413
8160	AwE†		3.983	1.996	5.15	1.706	3.283	1.805	5	1.795
8161	AwE		3.6	2.06	4.483	1.662	3.4	1.796	4.867	1.501
8162	U		3.85	2.073	4.167	1.888	3.733	1.666	4.3	1.72
8170	U		3.267	1.973	4.15	1.655	3.533	1.61	4.633	1.551
8180	AmAwE		4.867	1.891	4.967	1.922	3.917	1.72	5.633	1.402
8185	AwE		4.1	1.989	5.133	1.855	3.817	1.827	5.2	1.802
8190	AwE		3.683	2.127	5.167	1.719	4.233	1.721	5.183	1.524
8200	E		3.6	1.924	3.7	1.64	3.55	1.63	4.75	1.525
8210	U		4.183	2.103	4.567	1.789	3.7	1.797	5.217	1.552
8220	E		3.183	1.9	3.517	1.78	3.4	1.659	4.333	1.81
8232	U†	*	3.983	2.143	3.217	1.776	2.867	1.662	4.483	1.761
8250	U		3.117	1.767	3.6	1.942	2.95	1.651	4.317	1.873
8260	E	*	3.4	1.968	3.85	1.947	3	1.707	4.833	1.787
